N,p,t,Sp,Iter
12000,1,1.104630,1.000000,2
12000,2,0.835684,1.321828,2
12000,4,0.685203,1.612122,2
12000,7,0.630089,1.753134,2
12000,8,0.621757,1.776628,2
12000,16,0.574668,1.922206,2
12000,20,0.570004,1.937936,2
12000,40,0.564527,1.956735,2
