N,p,t,Sp
40000000,1,0.0223827,1
40000000,2,0.0122025,1.83427
40000000,4,0.00670748,3.33697
40000000,7,0.00449421,4.98033
40000000,8,0.0038589,5.80027
40000000,16,0.00270352,8.27907
40000000,20,0.00237501,9.42425
40000000,40,0.00200801,11.1467
